image_id,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,tag1,tag2,tag3
433991,30,36,96,66,68,27,16,6,30,10,10,12,595
836794,0,0,12,19,52,46,32,54,20,10,7,14,1118
115804,400,324,348,66,46,8,16,6,30,10,14,27,270
135091,10,72,68,62,101,69,66,132,80,50,1,10,298
10220,140,120,192,44,38,16,22,12,10,0,23,24,52
424450,10,24,28,21,73,81,82,150,30,50,2,0,579
535904,0,0,0,11,52,36,32,42,10,10,14,15,692
323886,0,6,4,4,40,70,116,312,180,180,14,35,484
941590,10,12,32,14,29,51,80,162,140,50,14,15,1362
243478,0,12,40,38,73,53,36,54,50,30,14,15,391
724351,10,36,44,27,39,38,36,102,60,50,2,21,924
429294,0,0,4,3,8,29,102,240,360,620,14,15,587
31947,10,6,32,21,42,32,38,66,60,10,12,14,124
570335,10,6,20,12,43,50,78,102,30,10,14,15,727
96907,10,36,88,51,105,78,52,90,50,50,8,10,244
11599,0,6,20,14,35,45,92,216,130,100,1,10,61
648493,10,18,24,38,81,55,28,42,10,10,4,14,818
64545,120,156,180,91,67,25,24,12,20,40,2,10,199
290327,0,0,12,10,40,66,100,216,190,70,2,10,445
230889,30,24,60,30,56,75,100,150,120,80,23,0,377
362400,10,30,28,30,76,53,60,18,20,30,14,28,523
865750,30,24,36,10,51,66,70,138,100,10,14,35,1191
271166,0,30,88,49,85,64,40,54,40,10,2,20,423
778354,0,0,4,9,39,76,60,36,90,10,20,23,1015
108991,0,0,16,5,22,78,172,594,710,360,14,15,254
571823,110,54,104,78,48,15,12,24,20,10,14,16,726
294512,40,24,52,50,83,34,18,18,40,10,14,27,448
419290,0,0,20,30,81,51,34,30,20,0,14,15,565
725511,0,12,72,30,64,33,4,6,0,0,2,20,915
388522,0,6,20,17,81,92,86,102,30,10,14,35,536
505212,10,6,4,18,50,45,34,48,40,20,14,45,675
771843,20,36,44,41,123,183,186,234,90,40,17,23,1005
26930,0,6,12,13,24,30,58,84,70,70,14,20,111
674760,20,36,76,45,44,14,8,6,30,0,23,51,843
41343,20,96,132,56,64,49,24,6,10,0,10,20,145
412318,0,12,16,24,57,66,98,60,60,30,14,15,569
182174,10,6,8,21,58,70,110,204,80,40,14,15,344
741831,20,12,36,13,45,52,24,66,50,10,2,14,954
859242,70,30,44,33,55,46,54,36,30,10,14,15,1177
473671,0,12,32,39,78,35,20,24,0,0,14,0,638
165705,30,30,124,72,114,59,28,24,20,20,10,20,328
473145,10,6,28,12,66,44,62,90,30,0,10,0,638
676620,10,6,44,18,47,40,66,72,100,30,14,35,856
902935,30,48,32,14,49,50,40,42,10,0,10,50,1252
917262,0,0,24,20,56,47,20,30,20,0,14,28,1279
809061,0,0,0,4,25,53,84,102,50,40,2,0,1069
930774,10,48,52,23,63,39,48,36,0,0,10,0,1330
417345,20,0,28,24,61,65,68,126,80,20,14,15,576
874318,0,24,60,44,53,14,6,6,0,0,7,14,1193
37388,20,24,40,18,43,34,38,72,30,30,14,15,139
797220,0,0,0,8,36,51,30,54,30,10,2,20,1045
659104,10,12,56,34,79,55,44,72,40,30,14,0,833
827455,0,0,12,6,49,56,68,84,60,40,14,15,1104
461790,0,12,8,13,58,53,44,60,40,0,2,14,615
282957,0,24,60,49,76,74,60,144,60,30,14,15,436
78949,30,48,76,61,80,44,54,96,80,40,1,2,219
286037,10,12,40,37,71,38,10,18,30,20,23,0,431
943676,0,0,20,10,32,59,52,96,30,10,14,21,1368
33042,10,12,48,18,45,50,96,150,120,80,14,35,126
676119,10,36,72,41,81,46,34,36,30,10,2,7,857
849509,10,12,36,18,43,66,84,108,50,10,10,20,1159
569859,0,0,12,13,62,68,64,132,60,20,14,27,725
96674,40,102,172,62,82,48,54,96,30,40,2,0,244
82736,0,0,24,11,35,63,46,132,60,40,7,23,226
344322,40,66,156,65,88,29,28,24,0,0,8,14,505
853159,30,36,24,22,56,54,56,78,50,0,9,14,1167
52059,10,36,40,25,52,35,60,90,20,70,1,14,173
311809,0,6,20,20,55,54,64,66,30,60,14,15,469
20138,0,0,8,18,26,40,36,90,20,10,2,10,94
308570,20,0,28,29,63,59,60,132,30,10,2,10,465
692792,0,12,16,16,60,40,32,54,20,10,14,23,78
328463,0,6,8,34,70,47,32,42,0,0,2,10,489
940071,10,0,0,3,10,24,70,246,240,230,14,0,1355
164434,20,6,64,54,74,69,48,60,30,10,9,10,327
10631,30,42,80,30,51,45,58,90,40,20,14,27,54
714871,0,0,8,6,30,44,90,126,60,70,14,15,901
200200120,100,0,0,0,0,0,0,0,0,0,0,0,0
424708,0,0,36,50,74,37,12,6,0,10,14,21,583
420853,0,0,32,35,73,61,46,54,20,30,14,15,576
347541,10,24,36,32,87,71,86,90,40,0,2,48,508
418841,40,78,72,71,78,17,10,30,20,10,14,0,576
512891,0,0,12,15,27,59,118,234,140,60,14,21,682
147951,90,108,204,80,40,16,16,6,10,0,8,23,310
190959,40,48,152,75,96,35,28,18,40,10,14,0,351
905312,40,42,52,37,38,43,22,24,0,10,10,14,1258
626991,20,24,28,24,60,39,22,36,0,10,2,20,792
946111,80,150,124,53,38,22,10,18,30,10,14,53,1373
664104,0,0,12,12,34,48,62,78,40,40,2,53,827
420608,0,18,52,44,67,34,14,12,10,0,14,28,578
828106,90,60,116,59,90,30,2,12,10,10,9,10,1109
776658,0,0,16,17,67,44,22,12,30,0,10,20,1012
294719,20,18,48,47,78,45,30,24,20,20,14,15,448
857115,0,12,16,15,59,48,28,12,10,10,14,27,1164
96631,10,30,60,45,97,81,102,108,50,30,14,15,244
659274,0,24,28,43,89,74,46,66,50,10,10,25,832
666826,10,0,40,18,73,52,60,84,40,20,2,20,844
789748,20,18,40,30,59,12,6,12,0,0,9,14,1035
169409,60,102,232,105,100,42,22,30,10,10,14,27,333
146440,20,30,64,61,122,74,84,84,40,20,2,20,309
412310,0,6,8,8,27,78,106,180,180,110,14,15,569
632757,40,36,44,51,80,64,42,72,40,0,10,39,802
650841,50,18,92,54,79,24,14,18,0,20,10,19,821
662126,0,6,4,8,58,56,28,24,20,40,14,15,838
331053,0,18,12,21,55,81,134,294,130,190,2,28,492
421025,30,24,72,61,59,26,14,0,0,10,14,28,565
872625,10,0,24,27,49,44,40,42,10,10,14,21,1201
861250,0,30,52,21,51,86,118,132,50,20,2,28,1182
861145,30,24,60,35,75,60,24,48,30,10,10,20,1183
749315,10,18,20,30,60,43,30,12,10,0,10,39,960
403268,10,0,8,15,60,55,82,66,30,20,14,33,551
727020,0,12,24,16,54,52,32,12,0,0,1,14,915
178565,0,6,24,26,90,65,64,54,20,30,2,7,340
48881,30,12,8,12,41,24,26,48,60,50,14,20,164
767607,10,48,72,43,61,6,8,12,0,10,14,15,997
303581,0,18,60,47,82,34,20,24,10,20,1,2,458
237076,10,24,60,30,61,56,26,78,100,30,2,10,383
178587,20,30,132,75,82,22,24,24,20,0,12,14,340
332253,40,30,64,39,61,68,62,72,130,70,14,45,491
40697,10,36,36,28,65,54,82,198,50,30,2,0,145
29567,0,30,16,19,43,42,32,36,20,10,10,19,118
279604,10,24,64,61,160,120,114,96,80,30,14,15,430
369568,110,108,104,64,62,36,34,24,10,0,2,0,529
785978,20,12,44,45,75,50,28,24,0,0,14,0,1027
875775,0,6,0,9,26,60,66,84,20,10,14,0,1193
621736,20,0,72,57,77,37,34,12,0,20,10,18,785
754541,10,36,68,56,101,27,8,6,0,0,10,18,980
793604,0,6,16,14,48,59,56,138,100,90,18,23,1040
294603,20,0,8,21,75,60,64,30,30,40,14,21,448
170536,20,78,140,80,124,61,70,66,20,10,2,19,333
136595,10,12,40,23,76,47,40,30,20,10,2,20,299
794512,0,18,20,20,39,47,28,24,10,0,14,53,1032
707136,0,0,0,5,15,52,80,150,130,60,14,27,900
5263,40,42,80,46,74,65,96,72,60,20,2,0,31
801031,0,0,0,18,39,43,56,54,20,0,7,14,1052
231180,10,12,68,54,88,44,60,54,30,10,2,20,377
570168,0,0,0,6,17,56,126,150,70,60,14,27,727
444565,0,6,20,14,77,51,26,24,10,10,14,15,596
22896,30,18,72,37,71,53,58,48,40,20,14,27,101
278772,80,18,60,21,76,76,114,192,200,60,23,44,433
42850,30,36,60,29,54,51,84,162,80,60,14,27,150
137012,0,0,12,10,37,53,88,138,70,90,2,20,299
339226,0,6,36,41,89,38,14,12,0,0,2,20,500
96994,10,12,48,24,71,70,134,228,240,140,2,20,244
268225,20,42,136,64,59,13,10,12,10,30,14,33,418
471155,0,6,12,33,92,64,54,72,10,30,2,21,635
239349,0,0,8,10,43,55,88,132,50,80,14,28,385
380043,10,24,100,61,65,34,14,6,10,20,7,14,537
163745,0,12,64,39,68,78,112,156,130,40,14,20,328
886583,0,0,4,3,17,42,86,102,80,30,14,35,1207
264060,20,6,16,20,61,103,116,186,120,50,10,21,401
611737,0,0,40,35,63,41,16,12,30,0,2,0,770
21235,0,18,40,18,36,43,80,144,120,20,14,15,97
774097,10,18,64,35,52,10,2,12,10,0,14,15,1003
900891,0,6,4,7,41,42,52,66,10,0,2,35,1236
823792,0,0,0,2,17,36,94,198,110,70,2,15,1089
937598,0,0,16,9,47,49,66,60,20,20,14,15,1339
389022,0,0,12,22,79,89,76,54,30,10,14,35,536
256434,10,12,64,63,104,53,28,60,20,10,14,0,405
691005,0,54,80,45,56,15,6,18,30,0,1,10,878
349961,0,24,60,48,115,103,122,186,60,60,2,0,511
817430,10,30,40,36,50,11,14,0,0,0,14,15,1075
291497,10,6,8,21,45,43,56,114,70,90,1,10,444
126172,0,6,4,19,52,50,72,144,130,60,14,28,284
707177,10,18,12,17,45,42,56,48,20,0,2,10,900
874097,0,0,32,29,69,33,20,6,10,0,14,21,1201
647597,0,6,4,14,30,60,102,276,160,100,14,47,818
234989,50,96,56,63,59,30,24,72,30,30,14,0,383
520400,20,0,40,14,53,40,44,90,20,40,14,15,686
238484,20,12,24,18,42,51,64,78,80,100,2,21,385
892330,0,6,8,3,24,42,54,96,80,20,10,61,1227
420800,10,36,40,27,60,69,76,78,40,40,14,0,576
297427,0,12,20,24,79,90,90,168,80,80,14,35,453
785892,10,12,16,20,36,41,86,186,110,80,14,0,1027
500007,10,6,28,21,42,48,48,48,60,10,2,10,672
857024,0,12,20,21,52,36,28,0,20,10,14,15,1174
755061,0,12,16,11,53,86,106,108,80,30,14,15,980
284894,0,30,24,33,73,53,62,144,80,60,14,28,440
624316,0,6,4,4,29,48,82,126,140,50,10,20,789
22615,20,30,36,22,46,46,70,150,120,120,14,33,101
395188,0,12,16,14,28,50,76,84,70,0,2,10,554
834995,20,6,12,19,36,71,102,144,140,30,14,43,1128
523410,20,24,80,43,53,44,24,36,20,0,21,23,687
423332,10,6,28,17,58,57,48,48,10,10,2,39,578
555780,0,6,12,8,34,36,50,102,50,10,14,15,707
767521,0,6,8,12,44,43,56,78,20,10,14,23,997
167196,0,0,12,26,70,74,84,108,70,50,14,15,322
403995,0,18,8,21,67,59,56,78,20,0,2,10,551
886996,0,0,8,10,46,59,40,36,20,20,14,28,1217
136680,0,6,28,27,108,91,144,138,130,60,14,15,296
857520,10,0,4,20,50,50,20,18,20,10,14,15,1164
746741,10,0,12,7,50,56,52,72,20,10,14,43,963
542609,0,6,52,64,72,22,12,6,10,0,5,14,699
765003,50,72,68,42,66,32,16,42,10,20,7,10,996
440634,180,96,188,90,38,16,4,24,10,0,14,15,604
775607,0,0,12,17,54,65,68,60,40,30,2,33,1009
640852,0,0,0,6,9,36,84,180,150,90,14,35,797
274114,290,342,336,111,70,23,12,30,0,0,2,39,428
167812,10,6,36,43,86,54,50,60,0,0,14,28,322
542478,10,0,0,10,48,75,68,102,40,20,14,27,699
67258,0,18,36,26,58,40,70,84,30,30,14,21,195
192591,130,108,228,93,76,20,8,0,0,10,1,2,351
297881,30,42,72,38,108,64,56,72,10,30,23,36,453
623864,0,18,24,35,78,54,80,48,60,30,14,0,788
60567,0,6,24,17,43,44,56,90,50,40,14,27,187
146455,10,6,28,24,68,87,158,312,110,90,14,21,309
824073,0,24,52,22,59,40,16,30,20,0,2,14,1098
11201,10,30,44,25,44,53,76,102,20,20,10,0,58
827906,40,24,28,26,71,74,62,60,40,20,1,14,1109
633533,0,12,28,30,82,72,46,66,40,10,14,15,804
429644,0,0,8,17,44,59,58,72,10,10,14,27,589
857551,0,6,28,13,59,38,22,18,10,0,14,61,1174
63555,0,0,16,8,50,53,48,30,40,20,10,20,196
568927,20,6,16,23,76,63,60,60,30,20,14,35,725
820963,10,30,40,32,82,45,30,18,10,10,2,53,1092
916354,0,42,44,19,68,52,40,30,0,20,14,35,1288
669606,10,18,36,12,56,39,32,66,40,30,14,15,848
343978,20,36,100,89,91,27,20,30,20,0,14,15,505
252699,0,78,128,81,111,57,44,48,20,20,7,14,403
173413,0,24,68,67,124,88,68,66,30,40,2,4,335
837381,0,0,4,6,43,48,56,102,70,90,14,0,1132
337322,0,6,0,8,32,48,96,102,170,160,14,15,497
193882,40,60,84,69,89,43,52,66,40,50,10,21,351
568639,0,0,8,10,60,77,72,126,40,30,2,20,726
262623,0,18,48,51,74,52,82,114,50,80,10,20,413
92674,80,102,172,73,119,47,44,72,30,30,2,25,237
45401,260,210,156,67,41,11,8,6,0,0,1,14,155
165690,40,48,100,71,109,56,24,24,30,0,2,10,328
839257,0,6,12,6,42,54,86,90,40,10,2,20,1137
458299,10,6,16,25,46,51,46,84,0,40,8,10,623
244352,0,30,48,39,84,55,40,36,0,20,14,15,391
439471,10,90,104,80,63,14,10,0,10,20,2,0,603
93199,10,60,120,71,86,44,30,18,30,20,1,10,239
186823,30,48,100,58,76,66,62,120,80,40,10,0,347
279593,60,66,88,59,74,56,54,96,80,80,10,12,433
542292,0,12,24,47,83,35,18,12,20,0,10,0,700
426712,10,6,40,23,70,48,24,30,10,0,14,21,583
150409,0,12,12,27,71,55,70,78,30,20,14,33,314
696920,10,6,24,11,57,55,54,54,60,10,14,20,887
676554,0,48,132,51,49,25,16,12,20,0,14,15,856
906117,10,12,16,10,26,45,46,66,30,20,14,35,1250
831034,0,0,12,3,35,46,74,156,90,0,14,31,1115
445856,0,0,16,24,62,56,60,126,100,60,14,15,610
117228,0,12,56,45,111,53,32,12,10,10,14,15,264
707472,0,24,24,16,47,37,44,78,30,30,2,33,900
426806,0,6,32,34,68,40,28,36,30,0,14,21,583
473593,20,18,36,46,66,32,26,6,20,10,14,15,638
308751,20,6,8,17,47,82,72,90,70,30,2,0,465
419459,0,12,12,6,27,59,102,270,260,140,14,15,576
820174,60,30,56,34,70,31,32,6,0,0,10,0,1091
54593,30,18,32,14,46,58,50,60,70,20,10,31,176
196438,20,48,140,81,87,43,24,30,20,0,14,20,353
561470,10,18,36,41,55,21,2,0,0,10,14,28,707
821858,0,0,12,5,38,66,80,174,120,40,14,15,1096
935236,20,0,16,16,51,70,88,90,60,30,2,3,1343
41302,10,6,32,23,59,64,84,144,120,80,2,0,145
26319,20,24,56,23,43,66,78,144,80,20,14,27,110
811398,0,0,36,20,48,40,14,6,0,0,2,0,1075
879174,20,18,28,16,53,49,38,24,30,0,14,0,1210
444957,0,0,4,5,44,64,122,222,120,70,2,14,611
372034,0,6,8,9,28,46,92,162,230,290,14,46,530
229444,40,48,72,44,67,69,58,96,100,10,20,23,377
736606,20,0,12,10,26,38,90,216,240,120,14,0,943
160102,0,18,16,41,76,45,30,24,10,20,12,14,321
811861,0,6,8,9,38,46,58,48,40,0,14,0,1075
543871,10,6,24,28,61,24,28,24,10,20,10,21,701
344041,0,30,72,45,82,48,62,36,20,10,23,0,505
576477,0,0,0,5,22,60,72,120,90,40,14,27,721
951559,0,6,4,10,22,55,76,144,140,100,14,38,1391
96922,0,18,68,31,81,86,110,198,100,100,7,14,244
327879,10,18,32,34,58,45,38,36,20,30,10,16,486
450798,10,0,12,19,60,42,22,54,20,10,2,20,615
420750,10,0,32,16,43,60,52,108,60,30,2,20,578
226693,10,66,28,39,66,68,72,96,40,60,10,21,374
627865,0,0,4,9,37,47,102,108,20,50,12,14,783
822969,0,6,12,10,33,63,110,120,70,70,14,15,1096
365067,40,78,84,64,108,54,32,48,20,10,14,20,525
606672,10,0,4,10,20,26,52,114,90,50,14,46,764
693601,0,6,12,19,58,36,34,30,10,20,14,15,871
534803,0,6,4,12,65,37,28,36,20,0,14,27,694
279834,20,42,60,33,100,55,90,66,10,50,10,23,436
41346,10,6,20,12,29,34,130,324,280,270,2,10,145
281237,0,0,24,18,54,74,108,162,190,80,10,12,435
287811,0,12,48,46,78,35,16,6,0,0,10,20,441
926361,20,42,16,20,48,67,52,78,70,20,14,0,1319
232295,0,12,28,35,70,49,46,60,20,10,14,15,378
832469,0,6,4,13,67,48,22,18,10,0,14,15,1112
787731,10,18,20,17,68,51,62,78,60,30,14,15,1030
436030,10,6,28,30,65,82,82,126,70,10,10,17,598
471510,0,0,28,17,82,56,82,108,30,50,10,16,635
621134,20,6,52,38,72,60,56,54,70,40,7,23,784
812576,0,18,32,22,44,28,26,42,40,0,14,0,1076
278074,0,18,36,48,85,49,68,54,30,30,14,23,432
543918,0,0,4,7,23,61,82,198,160,110,2,20,700
403333,0,12,16,34,77,45,22,12,0,0,14,15,551
786990,0,12,24,23,51,34,24,18,10,0,14,0,1018
933779,10,24,8,5,30,48,134,204,20,0,14,21,1331
79239,40,18,68,43,79,62,58,90,60,30,2,23,219
32779,40,30,44,46,43,50,60,132,90,20,10,12,126
139883,20,90,112,78,90,38,34,60,30,0,2,0,302
92261,480,282,224,79,62,22,18,24,20,0,8,10,237
839472,10,24,40,45,58,28,24,30,10,0,10,20,1137
695917,0,12,20,14,37,61,42,36,80,20,2,35,885
538203,0,24,28,48,59,14,8,6,0,0,14,28,696
397680,70,54,152,57,59,17,10,6,10,0,14,15,557
718456,60,42,48,25,59,64,116,252,320,170,14,35,917
615026,10,6,24,30,72,45,36,84,60,70,5,14,775
449463,0,0,20,23,92,112,144,186,100,30,14,20,616
916392,100,24,64,28,59,48,36,24,30,50,22,23,1289
690888,10,24,36,13,68,43,24,0,20,20,2,14,878
897031,10,6,28,24,52,29,8,12,10,0,14,15,1237
834984,0,0,12,5,29,60,104,108,90,20,14,0,1126
24143,10,0,20,8,26,37,36,78,0,10,10,21,104
790716,0,6,0,15,38,47,112,198,170,180,14,0,1033
835568,0,18,20,23,65,42,16,6,0,0,2,0,1118
11693,0,18,32,25,32,21,16,0,20,0,14,0,62
563946,0,0,0,16,40,47,58,66,10,10,2,10,718
324193,10,30,68,45,69,48,28,30,10,10,2,10,485
404096,0,18,40,32,78,48,26,12,10,0,14,15,551
286430,0,6,20,18,64,55,48,78,40,10,14,32,431
848540,0,42,44,45,110,60,26,18,0,0,16,23,1154
738279,0,12,4,8,26,72,206,414,410,180,2,10,945
735316,0,12,12,11,54,50,34,12,10,10,14,15,931
906827,0,0,16,24,47,38,18,24,10,10,10,21,1260
361705,10,12,24,22,65,67,50,72,80,20,2,20,523
440034,0,6,20,30,63,55,32,42,20,0,14,0,596
11276,60,96,104,38,48,37,30,54,40,0,1,2,58
119519,0,6,20,7,31,42,94,192,250,90,14,15,273
834083,40,24,12,15,41,80,88,156,50,40,18,23,1124
23500,10,6,56,46,39,20,8,0,0,0,13,23,102
932967,0,12,32,15,71,65,30,54,10,10,2,45,1331
805015,0,0,16,14,34,43,72,144,110,80,14,15,1062
696085,10,18,44,28,50,39,26,6,10,20,2,20,885
906095,0,6,12,5,20,50,78,72,60,40,14,27,1259
445418,70,144,132,107,43,10,10,6,10,0,10,14,609
544412,0,0,0,3,10,37,60,174,130,80,14,28,692
437620,0,0,24,35,76,80,66,78,40,40,10,40,598
868688,10,6,12,4,34,75,114,108,90,40,23,39,1198
164383,40,42,156,70,82,58,54,66,70,10,7,14,328
71960,120,192,204,76,60,22,18,30,20,0,2,7,211
880481,20,18,32,25,52,43,44,30,20,40,14,21,1210
523921,0,0,12,19,46,54,62,78,60,40,10,0,679
849851,0,24,28,25,72,78,76,42,40,10,2,21,1160
463758,0,0,4,12,37,67,70,114,70,30,14,21,630
456388,0,6,20,26,52,39,46,54,40,10,14,35,623
844407,0,6,24,5,38,45,64,66,50,0,1,2,1147
810776,0,0,12,19,64,49,36,12,10,10,14,28,1060
704624,10,0,0,9,29,57,98,72,30,40,14,15,886
931874,0,0,4,7,19,50,96,168,170,130,14,23,1334
428679,0,0,12,15,46,74,84,120,80,60,14,31,587
164627,20,18,92,45,110,65,70,102,20,10,6,10,328
470381,20,60,108,62,62,25,26,12,20,20,1,14,636
449384,0,6,4,15,77,109,176,258,140,80,14,27,616
56071,10,60,84,43,94,46,30,24,10,10,2,10,179
822920,0,18,40,27,60,46,60,42,40,10,2,35,1096
929615,20,30,64,25,52,49,30,42,50,10,14,0,1327
955518,0,18,20,25,61,28,18,12,0,10,14,0,1399
173127,180,198,288,96,82,28,22,24,20,0,2,17,335
759275,0,12,8,10,53,68,62,60,10,20,14,48,984
31816,10,0,60,31,49,61,104,114,50,50,14,15,123
855966,0,12,12,18,77,64,70,54,30,0,14,22,1173
934151,20,6,4,6,22,47,48,102,90,120,14,20,1338
69658,20,12,64,27,67,38,28,24,10,10,14,28,206
65954,0,18,32,40,62,46,22,54,20,30,2,10,195
667140,0,18,36,25,65,88,134,372,230,70,2,20,845
496949,0,0,28,23,47,80,100,180,110,70,14,28,668
542081,0,0,4,22,47,49,72,102,80,60,14,0,700
263368,370,312,308,66,28,5,2,18,0,10,14,15,412
789821,20,6,24,30,56,60,70,54,40,50,14,28,1033
450569,0,12,20,37,123,122,88,24,40,0,14,21,616
255162,0,0,24,32,86,91,112,222,120,70,14,15,403
620202,40,30,56,57,81,41,16,24,10,0,10,11,782
438768,0,0,0,2,9,37,104,390,430,650,7,14,600
857223,10,18,12,19,52,38,40,6,30,10,2,33,1164
40792,20,60,100,50,67,52,46,72,40,10,2,0,145
63792,240,114,140,73,64,17,32,18,10,10,20,23,197
254592,20,96,156,79,118,46,32,30,0,10,14,35,403
658611,0,12,8,21,45,65,58,54,40,10,1,14,831
28611,10,48,72,30,59,47,60,96,60,0,10,21,117
859680,30,30,48,23,63,52,44,60,80,30,14,27,1179
277057,10,12,32,21,67,127,212,360,310,160,2,0,430
254704,60,66,160,77,106,64,40,42,30,10,14,43,403
940152,10,12,32,29,68,33,20,6,0,10,10,19,1357
249659,30,18,64,30,90,68,42,90,40,50,10,25,398
736015,0,12,60,24,49,27,8,12,0,0,7,14,941
244612,10,42,68,42,90,35,22,42,30,10,2,33,391
668599,0,12,32,30,52,32,8,24,10,0,10,21,843
85139,20,108,124,54,59,59,62,114,70,0,10,0,229
200400,100,0,0,0,0,0,0,0,0,0,0,0,0
449145,0,0,12,7,54,107,188,306,240,170,14,27,616
263248,20,18,56,46,82,58,66,120,70,40,2,20,413
383835,10,36,52,46,65,56,38,48,40,70,14,21,543
647934,10,6,32,47,55,22,12,0,10,40,14,35,813
101040,110,234,260,97,82,20,12,30,10,20,11,14,251
891663,30,30,32,33,54,57,62,78,100,0,14,51,1226
932535,0,18,32,29,58,26,2,12,0,0,14,0,1335
889019,20,18,16,13,56,70,34,66,50,20,14,40,1222
624698,0,12,20,16,53,47,54,36,20,0,2,20,789
422112,0,12,8,20,42,66,56,144,70,60,14,0,580
819785,10,0,4,11,27,70,98,162,110,70,14,15,1090
136283,0,12,28,11,61,90,166,324,200,170,2,12,296
83497,10,0,24,10,39,49,70,90,80,30,23,0,226
236305,0,48,68,59,83,29,18,24,20,10,12,14,382
830314,0,6,8,14,63,53,34,54,20,10,2,23,1104
850080,0,18,36,17,47,78,72,48,40,30,10,61,1159
323150,10,30,32,46,81,34,48,42,0,20,14,27,482
448201,10,6,24,27,47,34,32,42,30,0,21,23,615
843087,0,0,12,13,39,76,62,60,40,0,14,19,1136
24024040,100,0,0,0,0,0,0,0,0,0,0,0,0
166134,0,18,68,44,105,78,80,102,100,70,14,20,328
154023,50,108,96,51,80,29,10,6,0,10,10,16,317
420460,0,12,28,19,50,70,94,96,110,20,14,28,576
175760,0,0,12,25,62,37,44,48,90,50,2,20,337
745552,40,30,72,43,44,24,16,24,40,10,2,25,959
495619,0,0,20,7,29,49,104,294,200,120,9,23,663
264515,0,36,80,36,81,47,18,60,50,10,23,35,416
308314,10,18,20,28,59,57,62,96,50,10,14,27,465
840997,0,6,28,20,67,50,56,36,20,0,20,23,1136
288820,40,54,128,71,75,25,18,30,20,30,2,20,443
903181,20,48,56,27,46,34,20,24,10,20,2,20,1254
819919,10,18,24,17,69,55,46,66,20,20,14,35,1090
625241,20,18,32,44,60,27,10,18,0,10,14,0,792
328740,0,12,32,13,65,59,96,114,90,80,10,0,487
404092,10,0,28,20,70,53,42,48,50,0,14,15,551
631824,0,0,0,4,13,61,100,228,180,110,14,28,800
420209,0,42,60,39,77,36,20,18,10,10,14,23,565
166105,30,72,156,66,86,49,26,78,10,10,10,20,328
871101,10,24,28,27,76,63,56,42,40,10,14,0,1199
570978,0,0,8,8,55,71,110,90,70,30,14,27,725
13748,10,6,24,13,35,46,94,186,210,80,2,20,74
224985,0,30,92,41,95,71,80,60,70,10,16,23,373
825874,20,18,32,14,39,45,74,66,60,90,14,43,1103
538251,10,18,12,39,59,19,6,0,0,0,2,10,696
86404,20,54,64,63,67,27,10,30,10,10,14,33,220
758302,0,6,28,19,51,70,102,174,110,0,14,21,982
955228,0,12,0,8,37,40,50,72,100,40,8,14,1399
932827,20,0,0,15,56,40,40,48,0,10,14,20,1324
696213,0,12,32,27,69,33,34,36,10,10,14,0,888
287745,20,54,80,67,65,17,10,12,0,20,2,20,441
828266,10,0,4,8,30,38,68,102,50,20,12,14,1108
310265,0,6,36,14,45,63,68,96,90,10,14,28,469
